label,Isomap,,,PACE
1.00,-168452.81,-129531.21,27507.37,8.00
2.00,204320.20,61173.05,96065.39,13.00
3.00,-94635.63,93987.25,-57764.86,14.00
4.00,143426.19,23974.22,79868.79,7.00
5.00,142113.70,18412.79,101670.41,13.00
6.00,-109749.56,101828.93,-48412.69,8.00
7.00,-279247.84,30899.18,22987.32,8.00
8.00,193119.40,-179584.45,-120436.18,11.00
9.00,-94384.41,100779.38,-66503.66,14.00
10.00,87037.38,-127877.30,-129318.96,14.00
11.00,246272.17,-77459.04,-85425.21,14.00
12.00,-247541.39,-41641.00,-58.65,10.00
13.00,34459.52,-202310.16,85227.23,3.00
14.00,53617.66,117204.97,107593.99,4.00
15.00,-278944.30,24183.57,48869.54,5.00
16.00,81882.37,-147602.66,96425.76,7.00
17.00,162216.83,121210.15,-39724.41,12.00
18.00,-221774.86,16212.91,32506.87,8.00
19.00,194468.89,83940.00,19046.00,8.00
20.00,-278068.12,-6087.05,-52107.64,10.00
21.00,-129924.53,-31456.25,-111602.21,8.00
22.00,124253.69,-56526.52,81582.39,8.00
23.00,217836.22,-233411.94,-45704.32,9.00
24.00,-48570.57,-73201.74,-37329.13,8.00
25.00,83252.34,-137602.49,108490.60,3.00
26.00,128100.41,97656.41,-64148.72,9.00
27.00,-279372.65,14616.19,58199.23,7.00
28.00,211560.14,131925.98,87302.24,12.00
29.00,70510.28,-103612.49,-182841.82,6.00
30.00,-156268.26,-13698.70,46485.07,9.00
31.00,-215515.82,91660.81,-39725.21,14.00
32.00,-217805.79,74816.36,-25153.19,11.00
33.00,149492.41,95501.81,1423.34,7.00
34.00,217159.84,-69617.78,-9377.27,5.00
35.00,220576.08,-68130.77,-31732.50,8.00
36.00,-96271.47,-31272.96,14223.91,7.00
37.00,251567.97,-87302.87,-91314.80,5.00
38.00,199697.31,156504.37,52226.98,4.00
39.00,181289.23,-28987.94,65922.76,10.00
40.00,91360.85,-135893.78,116202.74,13.00
41.00,225370.37,25462.70,46198.78,10.00
42.00,207760.31,-88622.60,12628.92,7.00
43.00,139109.59,23010.84,106146.44,8.00
44.00,163358.48,139635.11,42792.39,5.00
45.00,-279426.56,14245.02,57587.22,6.00
