label,Anatomy,,,Isomap-theta-123,,,Isomap-theta-dist-123,,,Q,Close-To-Center-Clustering,Close-To-Center-Distance-Clustering
1,51,-10,5,25.76607239,-17.91147751,29.20306609,-6.020779282,-2.723982963,3.75180555,2,2,2
2,23,-5,-23,-26.92507649,2.395039837,32.53788821,3.33668475,-2.888376862,3.230025097,1,2,2
3,-27,-22,61,44.41202046,-21.04707285,13.87972204,-7.606528068,-0.15030342,3.65775098,2,2,2
4,-14,-77,33,28.89685414,32.38263164,6.989146708,-7.884628813,-2.798160598,-4.55709,4,2,2
5,-40,45,-2,5.255081389,-11.13231961,-36.483358,-0.157764257,7.76052745,-2.172041435,3,2,2
6,41,-84,-7,-0.12564211,49.29192487,-5.568247911,0.899567205,-4.598428856,-3.542254425,4,2,2
7,4,5,60,41.87991811,-23.39130829,-2.002335687,-8.931127804,1.549665138,2.552254616,2,2,2
8,-6,-12,20,-3.132036031,2.095664677,-2.737724121,-0.421603417,0.701576626,0.614721627,1,1,1
9,-64,-21,-6,-25.58476548,-10.67360847,27.95926752,5.453721779,-2.862825112,3.353143266,1,2,2
10,6,-62,-42,-25.72778295,3.886147876,-20.26976276,7.557162389,3.365681405,-3.154997096,1,2,2
11,-51,-65,4,6.220146677,29.35285856,14.04501297,-1.926662127,-5.495387772,-3.300605203,4,2,2
12,38,49,-9,-6.645485593,-27.14901062,-29.4830747,1.684114141,4.737460663,0.095214379,3,2,2
13,-21,59,-11,-24.45139554,-18.18378035,-33.15662359,3.534023634,4.370964383,-0.083940535,1,2,2
14,51,-46,16,-10.95646075,12.56373285,25.30768368,2.178111879,-5.744999299,-0.31272523,1,2,2
15,51,-64,-30,-24.54305391,19.82453754,-31.86838373,5.897859278,2.123531053,-5.829943361,1,2,2
16,33,50,-8,-16.09972,-14.94788609,-23.31341581,1.297343137,4.112232744,1.299455301,3,2,2
17,7,-27,32,-22.78776653,-2.117069042,1.616055121,5.759010906,-0.084521096,-0.85662332,1,1,2
18,-9,-94,6,34.96064196,43.56820753,-3.933006183,-4.896296358,-2.721038026,-4.87560903,4,3,2
19,18,-36,75,46.55798975,-19.68647001,8.781789415,-8.323606613,0.339794252,2.482260727,2,3,2
20,12,43,17,-33.34594702,-18.00638259,-0.442452811,8.220234219,1.179516979,2.488685531,1,2,2
21,-27,-34,0,3.78115927,20.56071698,27.20718193,-0.244424282,-4.3792838,0.678144735,4,2,2
22,69,-24,-8,-40.33732139,-20.78237717,7.84578068,11.81205673,0.710610954,1.695509391,1,2,3
23,27,9,54,25.51891717,-9.374524643,-28.23065787,-3.514568954,3.542678314,-1.040337436,3,2,2
24,-54,7,-15,-2.892650022,11.70569116,39.46152788,-1.492983194,-6.16314517,0.918131792,2,2,2
25,-24,8,-42,-24.11497055,2.274779659,10.78977141,4.921188356,-0.656252546,0.589127288,1,2,2
26,-48,-68,24,-8.583953812,23.24887254,13.87105225,4.220910845,-4.624560915,-2.694854752,1,2,2
27,-5,-31,39,-4.578415714,-0.161707039,-4.682383168,1.280096919,0.369163525,0.487506772,1,1,1
28,-9,10,-6,-11.49075055,-9.35094041,13.3911424,1.780428494,-0.465213317,3.006176899,1,2,2
29,-45,-3,47,42.49439001,-1.272485578,-2.203874465,-10.01166856,-0.315423427,-1.080700853,2,2,2
30,-54,-35,50,11.23161562,-13.46967252,-45.85494652,-2.272725414,9.030339035,-2.325762947,3,2,2
31,17,-18,20,-9.565486146,6.038780747,2.515208039,1.06074812,0.566563757,-0.728409594,1,1,1
32,-2,41,8,-38.76518787,-11.90335182,15.50925725,5.813769336,-2.470651067,2.285744564,1,2,2
33,63,-54,15,-2.721600556,15.4370412,18.80342134,-0.553555599,-5.411418996,1.175892839,4,1,2
34,31,-9,70,30.69400811,-31.5111649,7.043229567,-6.103371834,-0.235701311,3.564084422,2,2,2
35,17,-97,8,26.74286574,39.12204319,-6.970279258,-4.961298517,-2.412231515,-4.478606772,4,2,2
36,-48,34,-2,7.076442394,-6.545901065,-12.12398551,-2.030878495,2.129812739,0.305253986,3,1,2
37,9,44,54,-33.61662049,-20.76282062,4.821661138,11.81474968,0.467778434,0.684552393,1,2,3
38,41,-8,-40,-18.20092666,14.25093181,4.805087186,2.471900103,-1.862321164,0.604520194,1,2,2
39,-36,-9,6,29.06150715,-8.758272592,27.20216051,-5.21051656,-1.894633749,3.21553392,2,2,2
40,-15,-57,68,44.64473625,12.22574185,-18.59151118,-9.663238522,2.84913452,-4.243375364,2,2,3
41,-6,-1,75,34.65098877,-16.40525336,-3.233688327,-8.8629213,2.796360501,1.671889663,2,2,2
42,-3,-20,-38,-10.73463081,4.192901353,11.66803117,0.857590856,-0.787001039,1.96003154,1,2,1
43,2,0,15,-7.224707094,-15.94653466,-10.3988327,0.347001109,2.284802874,2.131857653,1,1,2
44,51,-53,53,-30.73185092,-20.62054394,-33.65132945,7.315019769,7.271924703,-1.58346075,1,2,3
45,-17,70,6,-25.49472728,-14.60322676,-18.79782046,3.263728372,2.192527942,2.314443833,1,2,2
46,35,-72,28,11.54816488,30.54503002,-21.71029866,-3.256109792,-0.038108337,-4.750329467,4,2,2
47,28,37,-17,-12.29403973,-29.47145995,-24.65312114,0.726796041,3.51502923,2.750344779,3,2,2
48,67,-29,25,42.05936333,-10.73258378,2.791435122,-9.556613237,3.272428898,-1.104577426,2,2,2
49,56,3,31,38.73343785,-16.12513565,-4.42215425,-8.568322324,2.116155517,1.313458315,2,2,2
50,57,8,-28,-32.21351076,-0.84015367,32.62738668,6.878328362,-4.919734619,2.438140069,1,2,2
51,-30,-63,37,-0.119464066,11.18267884,-42.52235372,0.157496288,5.057345266,-4.387953287,3,2,2
52,-6,-25,75,50.03159297,-20.81897855,10.81479017,-8.607685276,1.152992555,2.522846701,2,3,2
53,-33,18,-37,-43.0214096,3.132617161,26.10014502,8.360384634,-2.942739185,0.979817243,1,2,2
54,21,-69,56,24.40985303,21.06221902,-27.84321672,-5.605753412,1.662904945,-5.609609004,4,2,2
55,-33,-24,21,20.86558421,-8.439142872,28.6051737,-4.504856464,-1.935584907,3.047516946,2,2,2
56,66,-45,2,-18.70043395,-19.59391589,-0.831283919,6.75658551,2.35170376,2.115891559,1,2,2
57,-44,-46,-31,-15.01495448,28.47990652,-31.52223455,3.370057992,0.738419261,-4.999332741,1,2,2
58,35,-16,10,9.660712666,-7.986338764,30.26293282,-4.002431956,-0.919968337,3.359872349,2,2,2
59,13,11,45,32.62702497,-18.78605737,-4.01517802,-6.706283602,2.469720694,2.94788095,2,2,2
60,-18,-37,-25,-9.864782418,21.27558956,17.439364,-0.448418544,-2.002095619,0.407170552,1,2,1
61,-36,-41,54,36.89167607,-4.397407929,-27.95321469,-7.595264596,5.790061311,-3.101337839,2,2,2
62,60,15,20,24.08301094,-28.18741019,-11.96484909,-5.344628711,4.238618655,2.019550571,2,2,2
63,-26,20,-6,-0.259737883,-12.87097329,-1.689248654,-0.974321438,1.291113502,1.641418922,3,1,1
64,-35,25,32,-1.157548033,-8.028683617,-23.58616143,0.686003021,2.352048118,1.515699035,3,2,2
65,51,-45,-36,-3.075691492,23.89239341,-20.54282035,0.510285649,1.694984983,-3.369319283,1,2,2
66,7,36,-25,-13.73365172,-32.40711564,16.73324673,2.443474682,-2.021830502,4.651812156,1,2,2
67,27,-43,-9,4.19804656,43.64247279,22.29193034,-1.828297696,-5.000851406,-2.596673761,4,2,2
68,36,-78,21,8.327544707,43.72862202,-6.159626056,-1.59492457,-3.391919294,-5.87440044,4,2,2
69,28,-46,69,50.91073213,-7.958073938,-6.114931521,-10.69611575,1.53817672,-0.728037321,2,2,3
70,3,39,33,-29.52534521,-22.72624583,-9.825071867,7.203816387,5.307312903,1.450699587,1,2,2
71,63,-32,45,24.46602558,-25.51566396,-31.06655083,-5.16807826,8.066129321,-1.645215437,2,2,2
72,45,36,37,-11.07418403,-24.95221836,-37.18887692,2.826665685,7.414716794,-1.882405814,3,2,2
73,-48,-14,57,39.15826737,-27.31108306,14.56374854,-7.983126431,-0.343658772,4.232294544,2,2,2
74,-44,-37,23,14.1134554,4.188663527,21.67569494,-2.443250504,-3.353730302,1.127341617,2,2,2
75,-9,39,-22,4.220560537,-35.69283865,1.694055464,-1.795661349,0.790902557,4.400430137,2,2,2
76,43,-35,-16,2.546398428,34.44835592,10.60377307,0.368020261,-3.437432853,-1.523006634,4,2,2
77,-36,-74,17,4.47964831,47.46189335,-0.082290835,-1.635623039,-4.102394821,-5.533612175,4,2,2
78,20,11,12,-20.8457747,-12.35481387,-12.16665149,2.001310315,2.234192889,1.8545817,1,2,2
79,19,-67,20,2.89097172,25.23278604,30.14163703,0.618242506,-5.300265099,-1.05577554,4,2,2
80,6,-82,6,33.03161027,20.8424347,-3.788993669,-6.955287557,-0.740694145,-3.093086859,4,2,2
81,-31,2,57,39.95690715,-7.8988078,-26.82523045,-7.598920456,3.93845392,-2.066111008,2,2,2
82,-63,-17,12,42.44969202,-12.90169491,20.9305725,-8.490375727,0.085671947,2.641884904,2,2,2
83,38,57,20,-0.51688432,-23.13473273,-32.80038787,-0.997595912,7.829475356,-0.844992678,3,2,2
84,51,34,-8,-24.381608,-32.67832927,-10.27536068,6.565506405,3.995699421,3.619262964,1,2,2
85,42,-32,44,32.92487362,-0.949220879,-14.3076901,-7.97182375,3.532188048,-1.795472752,2,2,2
86,-57,10,14,46.5596102,-15.27663263,1.158261728,-8.818203659,3.563736084,-0.029204011,2,2,2
87,-11,2,24,-11.80780497,-8.079523748,-19.53726453,2.855711565,3.28999104,-0.757529226,1,2,2
88,-29,-42,45,32.41663809,4.26149162,-31.06264424,-6.115574097,5.315081048,-4.589754386,3,2,2
89,33,-26,-5,-13.66949775,15.31648737,19.28012035,1.576621365,-2.779294863,-1.016443958,4,2,2
90,33,33,38,-33.43823637,-23.80583563,-5.198565448,6.371503291,0.728260926,1.799795944,1,2,2
91,45,-73,39,-35.0498583,2.318216121,-17.41312633,11.1522603,1.748294478,-3.448875591,1,2,3
