label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,
1,51,-10,5,-2630.241628,1073.064295,-2492.002155,-2249.705088,1541.665501,1786.060974,-2178.093462,1470.117762,-1663.91911,-2226.390361,1637.8959,1351.759125
2,23,-5,-23,-2622.512456,313.9908656,-1327.501903,-2330.955088,601.2182714,927.3683956,-2169.600519,509.5043823,-944.2121165,-2038.70045,621.042878,738.1612347
3,-27,-22,61,4340.775581,803.289658,3310.001072,3202.056062,-559.9512462,-3803.894957,3524.760617,95.55559372,3522.614765,3260.133731,-383.8255988,-3123.358653
4,-14,-77,33,-714.28767,1742.793074,3132.610047,-827.0809249,1078.205028,-3117.566481,-940.3129332,771.8741025,2989.343845,-825.1755078,51.96529683,-2861.86443
5,-40,45,-2,-71.49042659,-3247.462669,1.731274429,-115.2056363,-2908.561999,756.3538769,256.5686683,-2763.366633,-850.3642857,373.4227291,-2786.752953,1281.155633
6,41,-84,-7,-2532.052863,1147.521012,-41.73129653,-2048.989333,973.6799638,-158.7288159,-2027.823157,868.2611944,151.3300697,-1921.418188,888.2545451,-194.2569434
7,4,5,60,3683.366266,128.3046471,149.7898003,3321.513783,207.6362226,-589.9218229,3167.46303,405.7303687,408.695403,2966.921833,169.5519001,-721.5540115
8,-6,-12,20,-358.1544944,-2596.066803,-355.1082009,-483.2344461,-2892.870835,612.1546015,-89.80341902,-2080.033628,-899.8630662,72.44843273,-1697.587928,1134.662111
9,-64,-21,-6,-1403.238749,-2286.548859,1578.790928,-1173.51092,-2641.901194,-729.7890419,-933.0230287,-2499.743853,387.6024633,-862.8824131,-2488.315694,-232.867284
10,6,-62,-42,-2332.476469,346.0447979,701.4409411,-1963.218261,162.4228022,-760.0457792,-1856.672152,138.5203717,803.5434296,-1711.693239,105.0086645,-630.8372083
11,-51,-65,4,-1455.310665,-386.8702178,2357.815682,-1563.579025,-980.1880269,-1798.809033,-1379.621757,-997.5276114,1652.470183,-1168.211824,-974.665289,-1257.025399
