label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
1.00,-40.29,-84.75,1.10,-11.08,-8.44,1.70,1.13,-0.95,-0.12,2.00
2.00,-50.15,-60.33,22.80,11.28,-8.86,-0.19,-1.88,-0.17,0.53,4.00
3.00,13.13,-64.03,23.86,0.89,-10.82,-5.55,-0.31,-0.76,1.01,4.00
4.00,-37.42,-13.33,-2.92,-2.21,8.70,-5.78,0.86,0.84,0.39,3.00
5.00,-6.92,46.11,7.10,11.84,-8.32,-2.59,-2.50,-0.49,0.03,4.00
6.00,8.64,-35.93,46.93,-3.62,2.24,2.85,1.03,0.41,0.23,3.00
7.00,55.03,-47.23,40.93,12.31,4.51,5.19,-1.42,-0.45,-0.92,1.00
8.00,-40.91,-20.48,53.66,-9.40,1.66,-0.11,1.62,0.18,0.16,3.00
9.00,-58.61,-29.58,-3.23,3.82,4.54,-6.47,-0.15,0.21,1.31,4.00
10.00,27.14,59.37,-2.11,11.99,0.45,5.08,-1.78,-0.17,-0.29,1.00
11.00,2.60,12.60,48.94,-1.91,7.48,2.50,0.45,0.97,-0.64,1.00
12.00,52.81,-54.83,23.02,11.11,-6.63,-3.48,-1.46,-0.40,0.31,4.00
13.00,13.06,13.11,-7.11,9.09,4.28,-7.13,-0.62,0.38,0.59,1.00
14.00,-49.28,-65.06,-5.10,-11.88,-0.30,5.38,1.24,-0.48,-0.69,2.00
15.00,45.70,9.54,31.31,1.56,5.75,7.10,0.14,0.34,-1.09,1.00
16.00,11.25,-19.86,8.52,7.40,-0.79,-2.82,-0.80,0.57,0.39,1.00
17.00,-10.02,-66.50,22.09,2.89,-10.20,-6.58,-0.86,-1.10,0.81,4.00
18.00,-33.71,19.96,2.02,1.45,8.86,2.12,0.33,1.17,-0.56,1.00
19.00,-9.30,-37.78,68.48,-6.92,1.06,-0.08,1.11,0.12,0.59,3.00
20.00,6.79,43.31,5.33,10.38,-3.64,-0.76,-2.61,-0.40,-0.09,4.00
21.00,-42.29,42.02,13.08,4.09,7.58,6.95,-0.10,0.61,-0.90,1.00
22.00,-59.11,-26.68,15.62,-5.76,8.96,-3.03,1.35,0.95,-0.22,3.00
23.00,44.33,41.41,14.82,7.28,5.60,7.02,-0.51,0.61,-1.02,1.00
24.00,43.05,-73.44,-11.09,-12.37,-7.88,-0.11,1.27,-1.15,-0.10,2.00
25.00,-30.67,-4.67,-32.67,0.89,2.00,-8.25,0.42,0.15,1.02,4.00
26.00,29.39,-32.98,62.78,-9.01,2.47,-0.10,1.58,0.20,0.06,3.00
27.00,0.65,-16.29,34.47,9.78,-0.34,-3.69,-1.46,0.58,0.41,4.00
28.00,29.14,-54.33,59.16,-10.20,-4.33,6.83,1.12,-0.76,-0.87,2.00
29.00,42.95,10.28,-37.05,3.89,-0.56,-6.38,-0.18,0.41,0.78,4.00
30.00,-57.40,-43.13,26.02,-1.43,8.34,-1.15,0.44,0.92,-0.19,3.00
31.00,-45.66,8.55,31.40,3.75,3.82,12.13,-0.57,0.34,-0.99,1.00
32.00,40.40,-4.66,10.37,-6.58,7.97,-2.61,1.46,0.73,0.26,3.00
33.00,-13.79,-31.72,0.41,2.73,-6.29,-5.36,-0.09,-0.09,0.91,4.00
34.00,42.04,24.37,37.39,13.80,-0.02,7.32,-1.77,0.10,-0.72,1.00
35.00,62.02,-41.89,-8.48,7.51,3.45,-2.75,-1.21,0.63,0.09,4.00
36.00,1.72,33.66,23.94,7.57,0.93,1.16,-1.40,0.52,-0.21,1.00
37.00,-28.78,50.44,-12.98,11.24,2.68,5.71,-1.21,0.16,-0.65,1.00
38.00,13.27,-94.02,1.76,-7.86,-9.55,1.90,1.06,-1.25,-0.31,2.00
39.00,-8.71,-17.67,9.86,7.04,-2.73,-4.10,-1.12,0.41,0.32,1.00
40.00,1.66,-38.17,31.70,8.40,-10.67,-2.35,-2.67,-0.26,-0.42,4.00
41.00,-14.57,13.22,-3.47,8.93,3.74,-1.85,-0.63,1.00,-0.05,1.00
42.00,18.36,-33.89,-2.19,-2.29,-6.96,-6.80,0.27,-0.41,0.87,4.00
43.00,61.26,-20.23,-16.23,9.70,1.54,-6.38,-0.89,-0.40,1.07,4.00
44.00,-28.71,-6.18,57.29,-6.62,4.81,5.83,1.30,0.16,-0.57,3.00
45.00,44.42,30.37,-10.37,8.65,7.14,0.39,-0.81,0.85,-0.43,1.00
46.00,-6.10,-86.69,24.56,-9.01,-6.30,-0.07,1.30,-1.09,-0.13,2.00
47.00,0.51,17.03,32.16,-0.57,5.11,0.16,0.49,0.85,-0.17,1.00
48.00,-52.29,-50.05,41.71,11.38,2.60,9.24,-1.48,-0.31,-0.82,1.00
49.00,-28.44,32.00,-15.56,12.62,3.56,0.01,-0.68,0.34,0.34,1.00
50.00,1.20,-52.23,14.72,4.40,-11.05,2.11,-2.11,-1.21,0.43,4.00
51.00,36.07,18.09,3.12,-1.70,7.89,0.16,0.84,1.00,-0.60,1.00
52.00,42.73,-19.48,53.20,-9.51,1.35,0.62,1.55,0.15,0.20,3.00
53.00,-39.36,21.01,41.71,13.86,-7.34,5.38,-2.24,-0.06,-0.64,1.00
54.00,33.29,-30.79,-16.75,0.91,-4.79,-8.29,-0.17,-1.02,0.69,4.00
55.00,-43.92,-52.08,-19.28,-11.79,-6.93,5.77,1.09,-0.83,-0.40,2.00
56.00,28.25,-0.34,56.21,-8.63,3.97,5.35,1.54,0.21,-0.66,3.00
57.00,12.34,-44.19,67.43,-6.66,1.86,3.72,1.62,0.42,0.05,3.00
58.00,61.12,-16.75,11.97,-7.42,6.08,-3.35,1.62,0.86,0.18,3.00
59.00,-28.08,1.33,3.11,-1.73,7.20,-1.44,0.49,1.19,-0.16,3.00
60.00,59.31,-43.62,10.28,-5.28,6.25,-4.12,0.80,0.72,0.37,3.00
61.00,-11.79,-70.02,5.81,-7.37,-6.12,-3.07,0.99,-1.07,-0.02,2.00
62.00,29.21,25.03,-15.45,7.24,2.78,-2.62,-0.93,0.74,0.25,1.00
