label,anatomy,,,Q,PACE
1.00,-40.29,-84.75,1.10,4.00,6.00
2.00,-50.15,-60.33,22.80,3.00,13.00
3.00,13.13,-64.03,23.86,3.00,14.00
4.00,-37.42,-13.33,-2.92,2.00,2.00
5.00,-6.92,46.11,7.10,3.00,13.00
6.00,8.64,-35.93,46.93,2.00,4.00
7.00,55.03,-47.23,40.93,1.00,10.00
8.00,-40.91,-20.48,53.66,2.00,1.00
9.00,-58.61,-29.58,-3.23,3.00,16.00
10.00,27.14,59.37,-2.11,1.00,10.00
11.00,2.60,12.60,48.94,1.00,4.00
12.00,52.81,-54.83,23.02,3.00,14.00
13.00,13.06,13.11,-7.11,1.00,11.00
14.00,-49.28,-65.06,-5.10,4.00,8.00
15.00,45.70,9.54,31.31,1.00,3.00
16.00,11.25,-19.86,8.52,1.00,11.00
17.00,-10.02,-66.50,22.09,3.00,14.00
18.00,-33.71,19.96,2.02,1.00,4.00
19.00,-9.30,-37.78,68.48,2.00,1.00
20.00,6.79,43.31,5.33,3.00,13.00
21.00,-42.29,42.02,13.08,1.00,3.00
22.00,-59.11,-26.68,15.62,2.00,2.00
23.00,44.33,41.41,14.82,1.00,3.00
24.00,43.05,-73.44,-11.09,4.00,6.00
25.00,-30.67,-4.67,-32.67,3.00,16.00
26.00,29.39,-32.98,62.78,2.00,1.00
27.00,0.65,-16.29,34.47,3.00,13.00
28.00,29.14,-54.33,59.16,4.00,7.00
29.00,42.95,10.28,-37.05,3.00,16.00
30.00,-57.40,-43.13,26.02,2.00,4.00
31.00,-45.66,8.55,31.40,1.00,3.00
32.00,40.40,-4.66,10.37,2.00,2.00
33.00,-13.79,-31.72,0.41,3.00,15.00
34.00,42.04,24.37,37.39,1.00,10.00
35.00,62.02,-41.89,-8.48,3.00,10.00
36.00,1.72,33.66,23.94,1.00,12.00
37.00,-28.78,50.44,-12.98,1.00,10.00
38.00,13.27,-94.02,1.76,4.00,6.00
39.00,-8.71,-17.67,9.86,1.00,11.00
40.00,1.66,-38.17,31.70,3.00,14.00
41.00,-14.57,13.22,-3.47,1.00,11.00
42.00,18.36,-33.89,-2.19,3.00,15.00
