label;Anatomy;region_name;hemisphere
1;leftOccipital;Left Lateral Occipital Cortex inferior division;left
2;leftOccipital;Left Lateral Occipital Cortex superior division;left
3;rightParietal;Right Precuneous Cortex;right
4;leftSubcortical;Left Insular Cortex;left
5;leftSubcortical;Left Paracingulate Gyrus;left
6;rightParietal;Right Precuneous Cortex;right
7;rightOccipital;Right Angular Gyrus;right
8;leftParietal;Left Postcentral Gyrus;left
9;leftTemporal;Left Middle Temporal Gyrus posterior division;left
10;rightFrontal;Right Frontal Pole;right
11;rightSubcortical;Right Paracingulate Gyrus;right
12;rightOccipital;Right Angular Gyrus;right
13;rightSubcortical;Right Putamen;right
14;leftOccipital;Left Lateral Occipital Cortex inferior division;left
15;rightFrontal;Right Precentral Gyrus;right
16;rightSubcortical;Right Thalamus;right
17;leftParietal;Left Precuneous Cortex;left
18;leftSubcortical;Left Insular Cortex;left
19;leftParietal;Left Postcentral Gyrus;left
20;rightSubcortical;Right Cingulate Gyrus anterior division;right
21;leftFrontal;Left Frontal Pole;left
22;leftParietal;Left Parietal Operculum Cortex;left
23;rightFrontal;Right Frontal Pole;right
24;rightOccipital;Right Lateral Occipital Cortex inferior division;right
25;leftTemporal;Left Parahippocampal Gyrus anterior division;left
26;rightParietal;Right Postcentral Gyrus;right
27;rightSubcortical;Right Cingulate Gyrus posterior division;right
28;rightParietal;Right Superior Parietal Lobule;right
29;rightTemporal;Right Temporal Pole;right
30;leftParietal;Left Supramarginal Gyrus posterior division;left
31;leftFrontal;Left Precentral Gyrus;left
32;rightFrontal;Right Central Opercular Cortex;right
33;leftSubcortical;Left Thalamus;left
34;rightFrontal;Right Middle Frontal Gyrus;right
35;rightTemporal;Right Middle Temporal Gyrus temporooccipital part;right
36;rightSubcortical;Right Cingulate Gyrus anterior division;right
37;leftFrontal;Left Frontal Pole;left
38;rightOccipital;Right Occipital Pole;right
39;leftSubcortical;Left Thalamus;left
40;rightSubcortical;Right Cingulate Gyrus posterior division;right
41;leftSubcortical;Left Caudate;left
42;rightSubcortical;Right Hippocampus;right
43;rightTemporal;Right Middle Temporal Gyrus posterior division;right
44;leftFrontal;Left Precentral Gyrus;left
45;rightFrontal;Right Frontal Orbital Cortex;right
46;leftOccipital;Left Cuneal Cortex;left
47;rightSubcortical;Right Cingulate Gyrus anterior division;right
48;leftOccipital;Left Angular Gyrus;left
49;leftFrontal;Left Frontal Orbital Cortex;left
50;leftParietal;Right Precuneous Cortex;right
51;rightSubcortical;Right Insular Cortex;right
52;rightParietal;Right Postcentral Gyrus;right
53;leftFrontal;Left Middle Frontal Gyrus;left
54;rightTemporal;Right Temporal Fusiform Cortex posterior division;right
