label;Anatomy;region_name;hemisphere
1;Right;MNI(51:-10:5);right
2;Right;MNI(23:-5:-23);right
3;Left;MNI(-27:-22:61);left
4;Left;MNI(-14:-77:33);left
5;Left;MNI(-40:45:-2);left
6;Right;MNI(41:-84:-7);right
7;Right;MNI(4:5:60);right
8;Left;MNI(-6:-12:20);left
9;Left;MNI(-64:-21:-6);left
10;Right;MNI(6:-62:-42);right
11;Left;MNI(-51:-65:4);left
12;Right;MNI(38:49:-9);right
13;Left;MNI(-21:59:-11);left
14;Right;MNI(51:-46:16);right
15;Right;MNI(51:-64:-30);right
16;Right;MNI(33:50:-8);right
17;Right;MNI(7:-27:32);right
18;Left;MNI(-9:-94:6);left
19;Right;MNI(18:-36:75);right
20;Right;MNI(12:43:17);right
21;Left;MNI(-27:-34:0);left
22;Right;MNI(69:-24:-8);right
23;Right;MNI(27:9:54);right
24;Left;MNI(-54:7:-15);left
25;Left;MNI(-24:8:-42);left
26;Left;MNI(-48:-68:24);left
27;Left;MNI(-5:-31:39);left
28;Left;MNI(-9:10:-6);left
29;Left;MNI(-45:-3:47);left
30;Left;MNI(-54:-35:50);left
31;Right;MNI(17:-18:20);right
32;Left;MNI(-2:41:8);left
33;Right;MNI(63:-54:15);right
34;Right;MNI(31:-9:70);right
35;Right;MNI(17:-97:8);right
36;Left;MNI(-48:34:-2);left
37;Right;MNI(9:44:54);right
38;Right;MNI(41:-8:-40);right
39;Left;MNI(-36:-9:6);left
40;Left;MNI(-15:-57:68);left
41;Left;MNI(-6:-1:75);left
42;Left;MNI(-3:-20:-38);left
43;Right;MNI(2:0:15);right
44;Right;MNI(51:-53:53);right
45;Left;MNI(-17:70:6);left
46;Right;MNI(35:-72:28);right
47;Right;MNI(28:37:-17);right
48;Right;MNI(67:-29:25);right
49;Right;MNI(56:3:31);right
50;Right;MNI(57:8:-28);right
51;Left;MNI(-30:-63:37);left
52;Left;MNI(-6:-25:75);left
53;Left;MNI(-33:18:-37);left
54;Right;MNI(21:-69:56);right
55;Left;MNI(-33:-24:21);left
56;Right;MNI(66:-45:2);right
57;Left;MNI(-44:-46:-31);left
58;Right;MNI(35:-16:10);right
59;Right;MNI(13:11:45);right
60;Left;MNI(-18:-37:-25);left
61;Left;MNI(-36:-41:54);left
62;Right;MNI(60:15:20);right
63;Left;MNI(-26:20:-6);left
64;Left;MNI(-35:25:32);left
65;Right;MNI(51:-45:-36);right
66;Right;MNI(7:36:-25);right
67;Right;MNI(27:-43:-9);right
